"YEAR TO DATE3","","","","","","","","","","","","","","","","","","","","","",""
"","","","BATTERY ELECTRIC","","","PLUG-IN HYBRID","","","HYBRID ELECTRIC1","","","OTHERS2","","","PETROL","","","DIESEL","","","TOTAL",""
"","Greece","5,602","4,943","+13.3","6,063","6,031","+0.5","44,558","31,249","+42.6","2,000","2,839","-29.6","41,237","45,105","-8.6","8,575","14,343","-40.2","108,035","104,510","+3.4"
"","Hungary","6,530","4,197","+55.6","4,299","4,257","+1.0","40,311","33,302","+21.0","135","464","-70.9","26,919","30,680","-12.3","10,858","10,113","+7.4","89,052","83,013","+7.3"
"","Ireland","16,128","21,726","-25.8","11,765","9,988","+17.8","26,077","24,443","+6.7","0","0","","36,335","36,186","+0.4","26,943","26,583","+1.4","117,248","118,926","-1.4"
"","Italy","48,217","45,761","+5.4","39,902","52,626","-24.2","474,282","420,445","+12.8","114,209","106,646","+7.1","356,672","335,512","+6.3","169,165","216,350","-21.8","1,202,447","1,177,340","+2.1"
"","Latvia","935","1,455","-35.7","460","278","+65.5","4,689","4,290","+9.3","276","265","+4.2","4,710","6,374","-26.1","2,015","2,392","-15.8","13,085","15,054","-13.1"
"","Lithuania","1,302","1,528","-14.8","1,094","791","+38.3","10,188","8,216","+24.0","398","338","+17.8","6,430","8,095","-20.6","2,757","2,645","+4.2","22,169","21,613","+2.6"
"","Luxembourg","9,681","8,123","+19.2","2,908","3,691","-21.2","7,773","7,274","+6.9","0","0","","10,955","12,950","-15.4","4,600","5,963","-22.9","35,917","38,001","-5.5"
"","Malta","1,750","955","+83.2","427","758","-43.7","1,116","1,226","-9.0","0","1","-100.0","2,357","2,159","+9.2","288","455","-36.7","5,938","5,554","+6.9"
"","Netherlands","90,451","84,959","+6.5","39,255","38,136","+2.9","82,259","67,955","+21.0","1,645","1,599","+2.9","63,120","90,821","-30.5","3,153","3,179","-0.8","279,883","286,649","-2.4"
"","Poland","12,497","12,158","+2.8","10,272","9,642","+6.5","183,014","135,244","+35.3","10,679","8,960","+19.2","147,713","150,267","-1.7","34,456","34,046","+1.2","398,631","350,317","+13.8"
"","Portugal","29,068","25,655","+13.3","20,586","19,360","+6.3","26,063","22,947","+13.6","11,472","7,875","+45.7","56,868","58,323","-2.5","13,785","19,196","-28.2","157,842","153,356","+2.9"
"","Romania","7,378","11,759","-37.3","-","-","","43,237","32,597","+32.6","11,825","14,303","-17.3","37,841","39,460","-4.1","15,228","12,592","+20.9","115,509","110,711","+4.3"
"","Slovakia","1,729","1,667","+3.7","1,571","2,284","-31.2","20,096","18,042","+11.4","1,283","1,389","-7.6","31,917","32,845","-2.8","11,696","12,658","-7.6","68,292","68,885","-0.9"
"","Slovenia","2,341","3,175","-26.3","859","912","-5.8","4,213","5,634","-25.2","675","434","+55.5","25,253","21,526","+17.3","7,664","6,696","+14.5","41,005","38,377","+6.8"
"","Spain","37,994","34,607","+9.8","42,231","45,120","-6.4","276,867","220,669","+25.5","23,616","17,220","+37.1","289,049","301,581","-4.2","74,941","92,186","-18.7","744,698","711,383","+4.7"
"","Sweden","65,845","81,214","-18.9","44,217","42,907","+3.1","19,550","16,832","+16.1","4,342","4,943","-12.2","44,916","45,944","-2.2","14,521","18,123","-19.9","193,391","209,963","-7.9"
"","EUROPEAN UNION","1,047,869","1,111,925","-5.8","550,166","598,366","-8.1","2,404,532","2,002,816","+20.1","248,093","238,240","+4.1","2,744,809","2,872,408","-4.4","994,307","1,117,949","-11.1","7,989,776","7,941,704","+0.6"
"","Iceland","1,697","5,813","-70.8","1,424","1,507","-5.5","1,907","2,694","-29.2","1","3","-66.7","1,489","1,581","-5.8","1,693","2,237","-24.3","8,211","13,835","-40.7"
"","Norway","80,926","79,673","+1.6","2,564","6,642","-61.4","5,404","5,684","-4.9","9","2","+350.0","785","1,164","-32.6","2,106","2,332","-9.7","91,794","95,497","-3.9"
"","Switzerland","32,802","36,235","-9.5","15,118","16,211","-6.7","57,455","49,791","+15.4","19","63","-69.8","53,145","63,167","-15.9","17,191","17,439","-1.4","175,730","182,906","-3.9"
"","EFTA","115,425","121,721","-5.2","19,106","24,360","-21.6","64,766","58,169","+11.3","29","68","-57.4","55,419","65,912","-15.9","20,990","22,008","-4.6","275,735","292,238","-5.6"
"","United Kingdom","269,931","238,544","+13.2","124,943","98,993","+26.2","538,935","461,739","+16.7","0","0","","537,037","595,946","-9.9","43,248","56,686","-23.7","1,514,094","1,451,908","+4.3"
"","EU + EFTA + UK","1,433,225","1,472,190","-2.6","694,215","721,719","-3.8","3,008,233","2,522,724","+19.2","248,122","238,308","+4.1","3,337,265","3,534,266","-5.6","1,058,545","1,196,643","-11.5","9,779,605","9,685,850","+1.0"
"1","Includes full and mild hybrids","","","","","","","","","","","","","","","","","","","","",""
"2 Includes fuel-cell electric vehicles, natural gas vehicles, LPG, E85/ethanol, and other fuels","","","","","","","","","","","","","","","","","","","","","",""
"www.acea.auto","","","","","","","","","","","","","","","","","","","","","Page 4 of 6",""
